filepath,expected_verdict,scenario_id,incident_source,anomaly_type,csg_analyzer_target,notes
tests\evaluation_dataset\3_real_postmortem_replicas\R1_cloudflare\cloudflare_bot_features_baseline.json,PASS,R1,"Cloudflare Bot Management Outage, Nov 18 2025",none,baseline,"60 features, shard r1 only. Query dengan filter shard. Normal."
tests\evaluation_dataset\3_real_postmortem_replicas\R1_cloudflare\cloudflare_bot_features_incident.json,WARN,R1,"Cloudflare Bot Management Outage, Nov 18 2025","size_growth,duplicate_shard",growth,120 features (2x). Shard r0 ikut masuk. ratio 1.98x baseline.
tests\evaluation_dataset\3_real_postmortem_replicas\R1_cloudflare\cloudflare_bot_features_peak.json,CRITICAL,R1,"Cloudflare Bot Management Outage, Nov 18 2025","hard_limit_exceeded,size_growth","growth,keycount",280 features (6.1x). limit_exceeded=True. Proxy pre-alokasi 200 slot → out-of-bounds write → crash loop.
tests\evaluation_dataset\3_real_postmortem_replicas\R2_crowdstrike\channel_file_291_baseline.json,PASS,R2,"CrowdStrike Channel File 291 Incident, Jul 19 2024",none,baseline,150 rules × 20 fields. Schema v3.0. Kompatibel sensor 7.11.
tests\evaluation_dataset\3_real_postmortem_replicas\R2_crowdstrike\channel_file_291_incident.json,WARN,R2,"CrowdStrike Channel File 291 Incident, Jul 19 2024","keycount_inflation,schema_version_drift","keycount,growth",150 rules × 21 fields. Schema v3.1. Field ke-21 (ipc_template_instance_id) tidak diekspektasi parser v3.0.
tests\evaluation_dataset\3_real_postmortem_replicas\R2_crowdstrike\channel_file_291_peak.json,CRITICAL,R2,"CrowdStrike Channel File 291 Incident, Jul 19 2024","keycount_inflation,rule_count_doubled","keycount,growth",300 rules × 21 fields = 6300 total fields. Propagasi penuh ke semua sensor nodes. 8.5 juta device crash.
tests\evaluation_dataset\3_real_postmortem_replicas\R3_roblox\consul_registry_baseline.yaml,PASS,R3,"Roblox Consul Outage, Oct 28-31 2021",none,baseline,300 entries. streaming=false. BoltDB GC normal.
tests\evaluation_dataset\3_real_postmortem_replicas\R3_roblox\consul_registry_incident.yaml,CRITICAL,R3,"Roblox Consul Outage, Oct 28-31 2021","kv_bloat_10x,gc_failure","growth,keycount",3000 entries (12.5x). streaming=true. 2700 ghost entries dari BoltDB freelist leak.
tests\evaluation_dataset\3_real_postmortem_replicas\R3_roblox\consul_registry_peak.yaml,CRITICAL,R3,"Roblox Consul Outage, Oct 28-31 2021","kv_bloat_26x,consul_degraded","growth,keycount",8000 entries (33.9x). gc_interval=0. consul_status=degraded. Roblox offline 73 jam.
tests\evaluation_dataset\3_real_postmortem_replicas\R4_faa\notam_database_baseline.json,PASS,R4,"FAA NOTAM Outage, Jan 11 2023",none,baseline,1847 NOTAMs. source=PRIMARY. sync_status=PRIMARY.
tests\evaluation_dataset\3_real_postmortem_replicas\R4_faa\notam_database_incident.json,CRITICAL,R4,"FAA NOTAM Outage, Jan 11 2023","extreme_shrinkage,source_metadata_mismatch",growth,72/1847 NOTAMs (0.039x baseline). source berubah PRIMARY→BACKUP_RESTORED. 96% data hilang. Menguji deteksi shrinkage.
tests\evaluation_dataset\3_real_postmortem_replicas\R4_faa\notam_database_peak.json,CRITICAL,R4,"FAA NOTAM Outage, Jan 11 2023","complete_truncation,sync_error","growth,keycount","0 NOTAMs. SYNC_ERROR. Complete deletion scenario. 11.000 penerbangan delay, 1.300 dibatalkan."
