filepath,expected_verdict,cohort,notes
tests/evaluation_dataset/1_benign_standard/ai_vtuber_config.json,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/anomaly_transformer_pytorch_config.yaml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/arraymancer_nim.cfg,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/authgearserver_psotgresql.conf,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/automatedemulation_sg.tf,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/bakerstreet_at.tfvars,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/bio-ner_config.pbtxt,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/blurredgridmenu_gradle.properties,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/boxformagisk_settings.ini,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/bsf.hcl,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/bucketstream_config.yaml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/cassandramedusa_pyproject.toml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/CCKiller_ck.conf,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/chainerrl_hint.pbtxt,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/claudecodegpt5codex_config.yaml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/climetlab_pyproject.toml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/cloudoffice_do.tfvars,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/echarts_pom.xml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/elegantadmin.env.production,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/ESP32-BLE-MIDI_library.properties,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/exlaunch_config.json,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/exo.hcl,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/exo_config.kdl,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/fragmject_config.properties,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/gatsbythemes_renovate.json5,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/hardhat-deploy_zellij.kdl,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/ionic_geofence_config.xml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/jngl_lus.kdl,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/keysim.env,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/kuberhealthy_default.json5,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/mdslam_dl.conf,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/meilisearch-mcp_pyproject.toml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/opencuak_example.env.production,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/outdent_jsr.jsonc,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/pathtrackingpid_pid.cfg,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/phpox_99liipdeveloper.ini,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/plankton.ruff.toml,PASS,benign,Kontrol negatif — ukur False Positive
tests/evaluation_dataset/1_benign_standard/qownnotesapi_term.kdl,PASS,benign,Kontrol negatif — ukur False Positive
